TEMP,MONTH,YEAR,STATE
66.2,JUN,2022,Minnesota
78.1,JUN,2020,Mississippi
78.1,JUN,2021,Mississippi
81.3,JUN,2022,Mississippi
75.1,JUN,2020,Missouri
74.9,JUN,2021,Missouri
75.3,JUN,2022,Missouri
59.3,JUN,2020,Montana
65.3,JUN,2021,Montana
58.5,JUN,2022,Montana
73.5,JUN,2020,Nebraska
72.8,JUN,2021,Nebraska
71.4,JUN,2022,Nebraska
65,JUN,2020,Nevada
72.6,JUN,2021,Nevada
66.9,JUN,2022,Nevada
64,JUN,2020,New Hampshire
66.1,JUN,2021,New Hampshire
61.7,JUN,2022,New Hampshire
71.5,JUN,2020,New Jersey
71.8,JUN,2021,New Jersey
69.9,JUN,2022,New Jersey
72.5,JUN,2020,New Mexico
73.1,JUN,2021,New Mexico
72.6,JUN,2022,New Mexico
65.2,JUN,2020,New York
67.1,JUN,2021,New York
63.8,JUN,2022,New York
73.2,JUN,2020,North Carolina
73.8,JUN,2021,North Carolina
75.2,JUN,2022,North Carolina
66.9,JUN,2020,North Dakota
69.3,JUN,2021,North Dakota
64.6,JUN,2022,North Dakota
70.4,JUN,2020,Ohio
71.5,JUN,2021,Ohio
70.6,JUN,2022,Ohio
78.8,JUN,2020,Oklahoma
77.4,JUN,2021,Oklahoma
79.5,JUN,2022,Oklahoma
57.9,JUN,2020,Oregon
65.2,JUN,2021,Oregon
58.1,JUN,2022,Oregon
67.2,JUN,2020,Pennsylvania
68.6,JUN,2021,Pennsylvania
67.1,JUN,2022,Pennsylvania
68.1,JUN,2020,Rhode Island
69.6,JUN,2021,Rhode Island
66.3,JUN,2022,Rhode Island
76.1,JUN,2020,South Carolina
76.8,JUN,2021,South Carolina
78.8,JUN,2022,South Carolina
70.3,JUN,2020,South Dakota
72.3,JUN,2021,South Dakota
67.7,JUN,2022,South Dakota
73.5,JUN,2020,Tennessee
74,JUN,2021,Tennessee
75.8,JUN,2022,Tennessee
80.7,JUN,2020,Texas
80.3,JUN,2021,Texas
83.7,JUN,2022,Texas
65.4,JUN,2020,Utah
71.9,JUN,2021,Utah
67.6,JUN,2022,Utah
62.8,JUN,2020,Vermont
65.4,JUN,2021,Vermont
61.2,JUN,2022,Vermont
71.3,JUN,2020,Virginia
72,JUN,2021,Virginia
72.1,JUN,2022,Virginia
